meal_id,restaurant_id,name,ingredients,category,price,expiry,discount,tags,description
m1,r80,Meal 1,"rice,fish,lettuce",dessert,57.48,2026-04-13T22:35:25.041024,1,glutenfree,Delicious glutenfree meal with rice fish lettuce.
m2,r56,Meal 2,"garlic,egg,beef",drink,40.58,2026-04-17T12:35:25.041083,1,"dessert,halal,vegetarian",Delicious dessert halal vegetarian meal with garlic egg beef.
m3,r42,Meal 3,"cheese,lettuce,beef",main,143.39,2026-04-16T18:35:25.041117,1,"vegetarian,kidfriendly,glutenfree",Delicious vegetarian kidfriendly glutenfree meal with cheese lettuce beef.
m4,r42,Meal 4,"tomato,rice,onion",main,156.27,2026-04-18T09:35:25.041145,0,"vegan,vegetarian",Delicious vegan vegetarian meal with tomato rice onion.
m5,r58,Meal 5,"onion,fish,tomato",dessert,73.95,2026-04-14T16:35:25.041171,0,"seafood,lowcal,glutenfree",Delicious seafood lowcal glutenfree meal with onion fish tomato.
m6,r56,Meal 6,"chicken,onion,potato",starter,173.45,2026-04-15T17:35:25.041198,0,"dessert,vegetarian,seafood",Delicious dessert vegetarian seafood meal with chicken onion potato.
m7,r48,Meal 7,"potato,bread,beef",dessert,175.82,2026-04-18T04:35:25.041222,0,"vegan,glutenfree,dessert",Delicious vegan glutenfree dessert meal with potato bread beef.
m8,r56,Meal 8,"lettuce,egg,garlic",starter,139.25,2026-04-15T21:35:25.041246,1,"lowcal,dessert,kidfriendly",Delicious lowcal dessert kidfriendly meal with lettuce egg garlic.
m9,r18,Meal 9,"lettuce,bread,egg",dessert,199.54,2026-04-14T09:35:25.041269,0,glutenfree,Delicious glutenfree meal with lettuce bread egg.
m10,r18,Meal 10,"garlic,chicken,rice",drink,138.43,2026-04-17T10:35:25.041292,0,vegetarian,Delicious vegetarian meal with garlic chicken rice.
m11,r11,Meal 11,"fish,onion,lettuce",starter,101.79,2026-04-16T21:35:25.041314,1,lowcal,Delicious lowcal meal with fish onion lettuce.
m12,r71,Meal 12,"tomato,rice,lettuce",main,124.03,2026-04-16T19:35:25.041337,0,"lowcal,dessert",Delicious lowcal dessert meal with tomato rice lettuce.
m13,r65,Meal 13,"chicken,egg,onion",dessert,40.37,2026-04-16T03:35:25.041361,1,"lowcal,dessert",Delicious lowcal dessert meal with chicken egg onion.
m14,r11,Meal 14,"cheese,fish,potato",main,64.14,2026-04-14T00:35:25.041399,0,glutenfree,Delicious glutenfree meal with cheese fish potato.
m15,r70,Meal 15,"potato,chicken,fish",drink,123.31,2026-04-16T00:35:25.041423,0,"seafood,vegan,spicy",Delicious seafood vegan spicy meal with potato chicken fish.
m16,r54,Meal 16,"rice,chicken,onion",dessert,150.85,2026-04-17T13:35:25.041446,0,"seafood,glutenfree",Delicious seafood glutenfree meal with rice chicken onion.
m17,r8,Meal 17,"chicken,garlic,cheese",main,71.63,2026-04-17T21:35:25.041468,0,"kidfriendly,spicy,seafood",Delicious kidfriendly spicy seafood meal with chicken garlic cheese.
m18,r17,Meal 18,"rice,onion,cheese",dessert,22.56,2026-04-15T01:35:25.041492,0,"vegetarian,seafood,spicy",Delicious vegetarian seafood spicy meal with rice onion cheese.
m19,r78,Meal 19,"garlic,fish,bread",starter,67.03,2026-04-17T21:35:25.041514,0,spicy,Delicious spicy meal with garlic fish bread.
m20,r63,Meal 20,"chicken,bread,beef",starter,170.77,2026-04-14T08:35:25.041537,1,glutenfree,Delicious glutenfree meal with chicken bread beef.
m21,r50,Meal 21,"egg,garlic,rice",dessert,29.78,2026-04-14T16:35:25.041560,0,kidfriendly,Delicious kidfriendly meal with egg garlic rice.
m22,r15,Meal 22,"fish,lettuce,egg",drink,154.31,2026-04-15T04:35:25.041588,0,spicy,Delicious spicy meal with fish lettuce egg.
m23,r49,Meal 23,"rice,potato,lettuce",dessert,186.9,2026-04-13T15:35:25.041610,1,"lowcal,kidfriendly,spicy",Delicious lowcal kidfriendly spicy meal with rice potato lettuce.
m24,r49,Meal 24,"potato,garlic,bread",drink,129.89,2026-04-18T02:35:25.041633,0,"dessert,vegan,kidfriendly",Delicious dessert vegan kidfriendly meal with potato garlic bread.
m25,r43,Meal 25,"cheese,garlic,onion",drink,159.17,2026-04-15T16:35:25.041660,0,"seafood,vegetarian",Delicious seafood vegetarian meal with cheese garlic onion.
m26,r76,Meal 26,"bread,garlic,rice",main,141.1,2026-04-15T06:35:25.041688,0,glutenfree,Delicious glutenfree meal with bread garlic rice.
m27,r2,Meal 27,"garlic,fish,bread",dessert,65.34,2026-04-14T18:35:25.041713,0,"vegetarian,glutenfree",Delicious vegetarian glutenfree meal with garlic fish bread.
m28,r4,Meal 28,"garlic,tomato,onion",main,147.45,2026-04-16T23:35:25.041736,0,"vegetarian,vegan,seafood",Delicious vegetarian vegan seafood meal with garlic tomato onion.
m29,r12,Meal 29,"garlic,onion,rice",main,145.22,2026-04-18T08:35:25.041759,0,"spicy,lowcal,dessert",Delicious spicy lowcal dessert meal with garlic onion rice.
m30,r38,Meal 30,"cheese,lettuce,bread",starter,160.53,2026-04-14T22:35:25.041783,0,"vegetarian,kidfriendly",Delicious vegetarian kidfriendly meal with cheese lettuce bread.
m31,r8,Meal 31,"chicken,cheese,garlic",drink,32.49,2026-04-14T12:35:25.041805,0,"lowcal,dessert",Delicious lowcal dessert meal with chicken cheese garlic.
m32,r79,Meal 32,"beef,rice,potato",drink,59.31,2026-04-17T16:35:25.041827,0,"spicy,kidfriendly",Delicious spicy kidfriendly meal with beef rice potato.
m33,r57,Meal 33,"beef,egg,onion",dessert,159.9,2026-04-17T11:35:25.041848,0,"seafood,vegetarian,vegan",Delicious seafood vegetarian vegan meal with beef egg onion.
m34,r64,Meal 34,"chicken,garlic,lettuce",starter,146.01,2026-04-15T00:35:25.041870,1,vegan,Delicious vegan meal with chicken garlic lettuce.
m35,r74,Meal 35,"egg,fish,garlic",drink,171.93,2026-04-15T21:35:25.041891,0,glutenfree,Delicious glutenfree meal with egg fish garlic.
m36,r70,Meal 36,"lettuce,fish,beef",dessert,80.02,2026-04-16T14:35:25.041912,0,vegan,Delicious vegan meal with lettuce fish beef.
m37,r52,Meal 37,"bread,potato,egg",drink,156.88,2026-04-14T00:35:25.041952,0,vegetarian,Delicious vegetarian meal with bread potato egg.
m38,r26,Meal 38,"chicken,lettuce,tomato",drink,181.36,2026-04-15T04:35:25.041974,0,glutenfree,Delicious glutenfree meal with chicken lettuce tomato.
m39,r63,Meal 39,"egg,tomato,rice",starter,24.57,2026-04-13T18:35:25.041994,0,kidfriendly,Delicious kidfriendly meal with egg tomato rice.
m40,r63,Meal 40,"fish,potato,egg",main,81.07,2026-04-13T16:35:25.042016,0,"vegetarian,seafood",Delicious vegetarian seafood meal with fish potato egg.
m41,r6,Meal 41,"garlic,egg,potato",starter,153.39,2026-04-16T00:35:25.042041,0,"vegetarian,halal",Delicious vegetarian halal meal with garlic egg potato.
m42,r10,Meal 42,"fish,garlic,chicken",main,63.68,2026-04-16T02:35:25.042063,0,spicy,Delicious spicy meal with fish garlic chicken.
m43,r2,Meal 43,"cheese,beef,fish",starter,170.36,2026-04-16T20:35:25.042085,0,vegan,Delicious vegan meal with cheese beef fish.
m44,r14,Meal 44,"onion,egg,tomato",starter,96.72,2026-04-13T22:35:25.042106,1,kidfriendly,Delicious kidfriendly meal with onion egg tomato.
m45,r42,Meal 45,"rice,bread,tomato",main,126.76,2026-04-17T15:35:25.042127,0,glutenfree,Delicious glutenfree meal with rice bread tomato.
m46,r9,Meal 46,"rice,lettuce,egg",dessert,119.61,2026-04-17T07:35:25.042148,1,seafood,Delicious seafood meal with rice lettuce egg.
m47,r32,Meal 47,"garlic,onion,lettuce",starter,22.81,2026-04-17T17:35:25.042168,1,"vegan,spicy,glutenfree",Delicious vegan spicy glutenfree meal with garlic onion lettuce.
m48,r11,Meal 48,"rice,beef,onion",dessert,94.92,2026-04-18T07:35:25.042190,1,vegan,Delicious vegan meal with rice beef onion.
m49,r17,Meal 49,"garlic,cheese,potato",drink,63.07,2026-04-15T23:35:25.042212,0,spicy,Delicious spicy meal with garlic cheese potato.
m50,r79,Meal 50,"fish,onion,beef",dessert,82.61,2026-04-16T22:35:25.042394,0,"vegan,spicy,dessert",Delicious vegan spicy dessert meal with fish onion beef.
m51,r72,Meal 51,"beef,potato,egg",dessert,175.29,2026-04-16T21:35:25.042427,0,halal,Delicious halal meal with beef potato egg.
m52,r60,Meal 52,"tomato,beef,rice",drink,109.55,2026-04-17T05:35:25.042451,0,"halal,seafood,vegan",Delicious halal seafood vegan meal with tomato beef rice.
m53,r6,Meal 53,"cheese,tomato,lettuce",dessert,131.03,2026-04-14T22:35:25.042484,1,dessert,Delicious dessert meal with cheese tomato lettuce.
m54,r6,Meal 54,"potato,rice,garlic",main,107.31,2026-04-17T18:35:25.042508,0,vegan,Delicious vegan meal with potato rice garlic.
m55,r10,Meal 55,"onion,egg,bread",starter,154.48,2026-04-15T19:35:25.042529,0,kidfriendly,Delicious kidfriendly meal with onion egg bread.
m56,r30,Meal 56,"tomato,beef,egg",drink,176.58,2026-04-17T12:35:25.042551,1,dessert,Delicious dessert meal with tomato beef egg.
m57,r29,Meal 57,"onion,fish,chicken",drink,46.09,2026-04-18T07:35:25.042572,1,kidfriendly,Delicious kidfriendly meal with onion fish chicken.
m58,r23,Meal 58,"fish,tomato,bread",starter,80.46,2026-04-15T00:35:25.042594,0,"dessert,spicy",Delicious dessert spicy meal with fish tomato bread.
m59,r73,Meal 59,"rice,beef,fish",drink,50.82,2026-04-16T00:35:25.042616,0,seafood,Delicious seafood meal with rice beef fish.
m60,r29,Meal 60,"onion,potato,tomato",drink,174.26,2026-04-14T01:35:25.042639,1,"spicy,glutenfree",Delicious spicy glutenfree meal with onion potato tomato.
m61,r28,Meal 61,"chicken,lettuce,tomato",dessert,98.16,2026-04-14T21:35:25.042666,0,"kidfriendly,glutenfree,spicy",Delicious kidfriendly glutenfree spicy meal with chicken lettuce tomato.
m62,r76,Meal 62,"lettuce,chicken,garlic",main,96.63,2026-04-16T02:35:25.042690,1,vegan,Delicious vegan meal with lettuce chicken garlic.
m63,r62,Meal 63,"tomato,beef,potato",main,144.77,2026-04-17T14:35:25.042712,1,"vegetarian,kidfriendly,halal",Delicious vegetarian kidfriendly halal meal with tomato beef potato.
m64,r28,Meal 64,"cheese,tomato,beef",drink,140.43,2026-04-13T16:35:25.042734,0,dessert,Delicious dessert meal with cheese tomato beef.
m65,r59,Meal 65,"rice,lettuce,egg",dessert,132.83,2026-04-17T19:35:25.042757,0,"vegan,kidfriendly,halal",Delicious vegan kidfriendly halal meal with rice lettuce egg.
m66,r10,Meal 66,"cheese,lettuce,egg",starter,161.78,2026-04-17T07:35:25.042782,0,"dessert,vegan",Delicious dessert vegan meal with cheese lettuce egg.
m67,r80,Meal 67,"chicken,beef,lettuce",drink,131.44,2026-04-15T12:35:25.042805,0,"vegan,dessert",Delicious vegan dessert meal with chicken beef lettuce.
m68,r47,Meal 68,"egg,beef,potato",starter,44.91,2026-04-17T08:35:25.042826,0,glutenfree,Delicious glutenfree meal with egg beef potato.
m69,r31,Meal 69,"onion,tomato,garlic",dessert,181.63,2026-04-15T07:35:25.042850,1,"vegetarian,kidfriendly,dessert",Delicious vegetarian kidfriendly dessert meal with onion tomato garlic.
m70,r36,Meal 70,"bread,egg,fish",main,104.63,2026-04-16T04:35:25.042883,0,vegetarian,Delicious vegetarian meal with bread egg fish.
m71,r58,Meal 71,"fish,beef,garlic",starter,71.91,2026-04-15T16:35:25.042907,0,"dessert,vegetarian,kidfriendly",Delicious dessert vegetarian kidfriendly meal with fish beef garlic.
m72,r14,Meal 72,"beef,rice,fish",starter,113.72,2026-04-14T09:35:25.042929,0,seafood,Delicious seafood meal with beef rice fish.
m73,r38,Meal 73,"fish,bread,lettuce",main,72.47,2026-04-15T22:35:25.042951,0,"glutenfree,spicy",Delicious glutenfree spicy meal with fish bread lettuce.
m74,r3,Meal 74,"garlic,bread,lettuce",dessert,138.04,2026-04-16T16:35:25.042972,0,glutenfree,Delicious glutenfree meal with garlic bread lettuce.
